accepted,action,attack_extra_path_length,attack_induced_path_change,attack_route_penalty,attack_type,changed,claim,confirmed_weight,contradicted_weight,delivery_cycle_duration_steps,delivery_number,evidence_after,evidence_before,goal,is_malicious,kind,loaded_delivery_duration_steps,method,new_path_cost,new_path_length,new_trust,observation_age,old_path_cost,old_path_length,old_trust,operational_weight,operationally_ignored,outcome,path,phase,position,probability_after,probability_before,reason,recipient_id,report_id,report_ids,robot_id,scenario_event_id,sender_id,sensor_confidence,source_memory,step,target_cell,validated_reports,with_attacker_path_length,without_attacker_path_length
,,,,,,True,,,,,,,,,,replan,,full_trust,58.25696615549072,27,,,59.73687157264676,27,,,,,"[(9, 46), (8, 46), (7, 46), (7, 45), (7, 44), (7, 43), (7, 42), (7, 41), (6, 41), (5, 41), (5, 40), (4, 40), (3, 40), (3, 39), (3, 38), (3, 37), (3, 36), (3, 35), (3, 34), (3, 33), (3, 32), (3, 31), (3, 30), (3, 29), (3, 28), (3, 27), (2, 27)]",,,,,periodic_route_optimization,,,,2,,,,,25,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 19)",,,,,,,0,,,,,25,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 41)",,,,,,,1,,,,,25,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(9, 46)",,,,,,,2,,,,,25,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(15, 19)",,,,,,,0,,,,,26,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 41)",,,,,,,1,,,,,26,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(8, 46)",,,,,,,2,,,,,26,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 19)",,,,,,,0,,,,,27,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 42)",,,,,,,1,,,,,27,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 46)",,,,,,,2,,,,,27,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 20)",,,,,,,0,,,,,28,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 43)",,,,,,,1,,,,,28,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 45)",,,,,,,2,,,,,28,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,104.0,38,,,inf,38,,,,,"[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (15, 25), (14, 25), (13, 25), (12, 25), (12, 26), (12, 27), (11, 27), (10, 27), (9, 27), (8, 27), (7, 27), (6, 27), (5, 27), (4, 27), (3, 27), (3, 28), (3, 29), (3, 30), (3, 31), (3, 32), (3, 33), (3, 34), (3, 35), (3, 36), (3, 37), (3, 38), (3, 39), (3, 40), (3, 41), (3, 42), (3, 43), (3, 44), (2, 44)]",,,,,temporary_physical_obstacle_on_route,,,,0,,,,,29,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 21)",,,,,,,0,,,,,29,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 44)",,,,,,,1,,,,,29,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 44)",,,,,,,2,,,,,29,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 22)",,,,,,,0,,,,,30,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(2, 44)",,,,,,,1,,,,,30,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 43)",,,,,,,2,,,,,30,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 23)",,,,,,,0,,,,,31,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,148.60095707791942,65,,,,0,,,,,"[(3, 44), (3, 43), (4, 43), (4, 42), (5, 42), (5, 41), (6, 41), (7, 41), (8, 41), (9, 41), (10, 41), (11, 41), (12, 41), (12, 40), (12, 39), (13, 39), (14, 39), (15, 39), (16, 39), (17, 39), (18, 39), (19, 39), (20, 39), (21, 39), (22, 39), (23, 39), (24, 39), (25, 39), (25, 38), (25, 37), (25, 36), (25, 35), (25, 34), (25, 33), (25, 32), (25, 31), (25, 30), (25, 29), (25, 28), (25, 27), (25, 26), (25, 25), (25, 24), (25, 23), (25, 22), (25, 21), (25, 20), (25, 19), (25, 18), (25, 17), (25, 16), (25, 15), (25, 14), (25, 13), (25, 12), (25, 11), (25, 10), (25, 9), (25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2)]",,,,,task_transition,,,,1,,,,,31,,,,
,task_transition,,,,,,,,,,,,,"(25, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(2, 44)",,,,,,,1,,,,,31,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 42)",,,,,,,2,,,,,31,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 24)",,,,,,,0,,,,,32,,,,
,move,,,,,,,,,,,,,"(25, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 44)",,,,,,,1,,,,,32,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 41)",,,,,,,2,,,,,32,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 25)",,,,,,,0,,,,,33,,,,
,move,,,,,,,,,,,,,"(25, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 43)",,,,,,,1,,,,,33,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(6, 41)",,,,,,,2,,,,,33,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(15, 25)",,,,,,,0,,,,,34,,,,
,move,,,,,,,,,,,,,"(25, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 43)",,,,,,,1,,,,,34,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 41)",,,,,,,2,,,,,34,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 25)",,,,,,,0,,,,,35,,,,
,move,,,,,,,,,,,,,"(25, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 42)",,,,,,,1,,,,,35,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 40)",,,,,,,2,,,,,35,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 25)",,,,,,,0,,,,,36,,,,
,move,,,,,,,,,,,,,"(25, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 42)",,,,,,,1,,,,,36,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 40)",,,,,,,2,,,,,36,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 25)",,,,,,,0,,,,,37,,,,
,move,,,,,,,,,,,,,"(25, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 41)",,,,,,,1,,,,,37,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 40)",,,,,,,2,,,,,37,,,,
,move,,,,,,,,,,,,,"(2, 44)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 26)",,,,,,,0,,,,,38,,,,
,move,,,,,,,,,,,,,"(25, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(6, 41)",,,,,,,1,,,,,38,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 39)",,,,,,,2,,,,,38,,,,
