baseline_method,ci95_difference_high,ci95_difference_low,direction,focal_method,improvement_ci95_high,improvement_ci95_low,improvement_difference,mean_difference,metric,n_pairs,sample_std_difference,sem_difference
majority_vote,672.7509297154,-559.7509297154,diagnostic,source_memory,,,,56.5,temporary_obstacle_path_changes,2,68.58935777509511,48.5
majority_vote,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_replan_checks,2,0.0,0.0
majority_vote,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_path_changes,2,0.0,0.0
majority_vote,13.559307104599998,-24.5593071046,lower_better,source_memory,24.5593071046,-13.559307104599998,5.5,-5.5,malicious_report_replan_checks,2,2.1213203435596424,1.4999999999999998
majority_vote,9.7062047364,-15.7062047364,lower_better,source_memory,15.7062047364,-9.7062047364,3.0,-3.0,malicious_report_path_changes,2,1.4142135623730951,1.0
majority_vote,6.7062047364,-18.7062047364,lower_better,source_memory,18.7062047364,-6.7062047364,6.0,-6.0,fake_obstacle_replan_checks,2,1.4142135623730951,1.0
majority_vote,2.8531023682,-9.8531023682,lower_better,source_memory,9.8531023682,-2.8531023682,3.5,-3.5,fake_obstacle_path_changes,2,0.7071067811865476,0.5
majority_vote,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,false_clearance_replan_checks,2,0.0,0.0
majority_vote,0.0,0.0,lower_better,source_memory,-0.0,-0.0,-0.0,0.0,false_clearance_path_changes,2,0.0,0.0
majority_vote,6.8531023682,-5.8531023682,lower_better,source_memory,5.8531023682,-6.8531023682,-0.5,0.5,stale_reassertion_replan_checks,2,0.7071067811865476,0.5
majority_vote,6.8531023682,-5.8531023682,lower_better,source_memory,5.8531023682,-6.8531023682,-0.5,0.5,stale_reassertion_path_changes,2,0.7071067811865476,0.5
majority_vote,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,benign_blocked_moves,2,0.0,0.0
majority_vote,9.560345911964907,-8.062362508589919,lower_better,source_memory,8.062362508589919,-9.560345911964907,-0.7489917016874936,0.7489917016874936,replans_per_delivery,2,0.9807127215060252,0.6934686157728244
majority_vote,14.702128871903273,-17.0522142206736,lower_better,source_memory,17.0522142206736,-14.702128871903273,1.175042674385164,-1.175042674385164,traffic_waits_per_delivery,2,1.767145406414019,1.2495605002180104
majority_vote,5.8531023682,-6.8531023682,lower_better,source_memory,6.8531023682,-5.8531023682,0.5,-0.5,deadlocks_detected,2,0.7071067811865476,0.5
majority_vote,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,robot_overlap_violations,2,0.0,0.0
majority_vote,0.0,0.0,target_zero,source_memory,-0.0,-0.0,-0.0,0.0,intent_commit_mismatches,2,0.0,0.0
majority_vote,0.0,0.0,diagnostic,source_memory,,,,0.0,productive_replan_ratio,2,0.0,0.0
majority_vote,364.74544919659996,-435.74544919659996,diagnostic,source_memory,,,,-35.5,time_to_distrust_malicious_robot,2,44.54772721475249,31.499999999999996
majority_vote,3784.8897043425995,-3749.8897043425995,diagnostic,source_memory,,,,17.5,time_to_all_benign_distrust,2,419.31432124362266,296.49999999999994
majority_vote,0.0,0.0,higher_better,source_memory,0.0,0.0,0.0,0.0,distrusted_benign_robot_count,2,0.0,0.0
majority_vote,0.24248796961787394,-0.29474587642448075,diagnostic,source_memory,,,,-0.026128953403303408,attacker_min_trust_mean,2,0.02989733783615304,0.021140610323368954
majority_vote,0.1468612494149421,-0.20955587431765038,diagnostic,source_memory,,,,-0.03134731245135414,final_attacker_trust_mean,2,0.019834794917189896,0.01402531798938944
majority_vote,974.6888823514,-3.688882351400025,higher_better,source_memory,974.6888823514,-3.688882351400025,485.5,485.5,malicious_reports_operationally_ignored,2,54.44722215136416,38.5
majority_vote,16.5593071046,-21.5593071046,lower_better,source_memory,21.5593071046,-16.5593071046,2.5,-2.5,attack_induced_path_changes,2,2.1213203435596424,1.4999999999999998
majority_vote,1.5982022690560027,-3.0096548745193195,lower_better,source_memory,3.0096548745193195,-1.5982022690560027,0.7057263027316585,-0.7057263027316585,attack_route_penalty_mean,2,0.2564296027457316,0.18132311099847934
majority_vote,6.434287358330865,-16.85708206329224,lower_better,source_memory,16.85708206329224,-6.434287358330865,5.211397352480688,-5.211397352480688,attack_route_penalty_max,2,1.2961766005524737,0.916535263865981
majority_vote,79.90144805192932,-135.6733921089926,lower_better,source_memory,135.6733921089926,-79.90144805192932,27.885972028531643,-27.885972028531643,attack_route_penalty_total,2,11.996849924376603,8.483053934404015
majority_vote,0.6867100117661172,-1.0387205588986155,lower_better,source_memory,1.0387205588986155,-0.6867100117661172,0.17600527356624918,-0.17600527356624918,attack_extra_path_length_mean,2,0.09602109223759313,0.06789716545814106
majority_vote,7.7062047364,-17.7062047364,lower_better,source_memory,17.7062047364,-7.7062047364,5.0,-5.0,attack_extra_path_length_max,2,1.4142135623730951,1.0
majority_vote,31.118614209199997,-45.1186142092,lower_better,source_memory,45.1186142092,-31.118614209199997,7.0,-7.0,attack_extra_path_length_total,2,4.242640687119285,2.9999999999999996
majority_vote,133.124094728,-375.124094728,lower_better,source_memory,375.124094728,-133.124094728,121.0,-121.0,steps_route_affected_by_attacker,2,28.284271247461902,20.0
