baseline_method,ci95_difference_high,ci95_difference_low,direction,focal_method,improvement_ci95_high,improvement_ci95_low,improvement_difference,mean_difference,metric,n_pairs,sample_std_difference,sem_difference
majority_vote,20.5593071046,-17.5593071046,higher_better,source_memory,20.5593071046,-17.5593071046,1.5,1.5,benign_total_deliveries_completed,2,2.1213203435596424,1.4999999999999998
majority_vote,20.5593071046,-17.5593071046,higher_better,source_memory,20.5593071046,-17.5593071046,1.5,1.5,benign_deliveries_after_attack,2,2.1213203435596424,1.4999999999999998
majority_vote,3.0,3.0,higher_better,source_memory,3.0,3.0,3.0,3.0,benign_deliveries_after_distrust,2,0.0,0.0
majority_vote,0.10279653552300008,-0.08779653552300007,higher_better,source_memory,0.10279653552300008,-0.08779653552300007,0.007500000000000007,0.007500000000000007,benign_success_rate,2,0.010606601717798222,0.007500000000000006
majority_vote,8.223722841839995,-7.023722841839996,higher_better,source_memory,8.223722841839995,-7.023722841839996,0.5999999999999996,0.5999999999999996,deliveries_per_1000_steps,2,0.8485281374238566,0.5999999999999996
majority_vote,2172.5009786022,-2541.5009786022,lower_better,source_memory,2541.5009786022,-2172.5009786022,184.5,-184.5,benign_no_path_steps,2,262.33661582020915,185.5
majority_vote,10.460431930962061,-8.779546150076287,lower_better,source_memory,8.779546150076287,-10.460431930962061,-0.8404428904428869,0.8404428904428869,distance_per_delivery,2,1.0707146038666246,0.7571095571095582
majority_vote,26.965440323219234,-32.54935640713531,lower_better,source_memory,32.54935640713531,-26.965440323219234,2.79195804195804,-2.79195804195804,benign_delivery_cycle_duration_mean_steps,2,3.3120288254457937,2.3419580419580366
majority_vote,3.4265511841,-2.9265511841,lower_better,source_memory,2.9265511841,-3.4265511841,-0.25,0.25,benign_delivery_cycle_duration_median_steps,2,0.3535533905932738,0.25
majority_vote,37.84516539330009,-44.745165393300084,lower_better,source_memory,44.745165393300084,-37.84516539330009,3.4499999999999957,-3.4499999999999957,benign_delivery_cycle_duration_p95_steps,2,4.596194077712569,3.250000000000007
majority_vote,16.21656309656972,-14.530082910089536,lower_better,source_memory,14.530082910089536,-16.21656309656972,-0.843240093240091,0.843240093240091,benign_loaded_delivery_duration_mean_steps,2,1.7110665490670254,1.2099067599067581
majority_vote,3.4265511841,-2.9265511841,lower_better,source_memory,2.9265511841,-3.4265511841,-0.25,0.25,benign_loaded_delivery_duration_median_steps,2,0.3535533905932738,0.25
majority_vote,18.103376394139843,-16.203376394139823,lower_better,source_memory,16.203376394139823,-18.103376394139843,-0.95000000000001,0.95000000000001,benign_loaded_delivery_duration_p95_steps,2,1.9091883092036601,1.349999999999987
majority_vote,2355.6141122926,-2002.6141122926,lower_better,source_memory,2002.6141122926,-2355.6141122926,-176.5,176.5,benign_total_distance,2,242.5376259469858,171.5
majority_vote,1770.9024270373995,-2129.9024270373993,lower_better,source_memory,2129.9024270373993,-1770.9024270373995,179.5,-179.5,benign_planning_checks,2,217.08178182427008,153.49999999999997
majority_vote,331.36132314639997,-329.36132314639997,lower_better,source_memory,329.36132314639997,-331.36132314639997,-1.0,1.0,benign_path_changes,2,36.76955262170047,25.999999999999996
majority_vote,96.796535523,-93.796535523,diagnostic,source_memory,,,,1.5,temporary_obstacle_replan_checks,2,10.606601717798213,7.5
majority_vote,96.796535523,-93.796535523,diagnostic,source_memory,,,,1.5,temporary_obstacle_path_changes,2,10.606601717798213,7.5
majority_vote,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_replan_checks,2,0.0,0.0
majority_vote,0.0,0.0,diagnostic,source_memory,,,,0.0,robot_on_route_path_changes,2,0.0,0.0
majority_vote,18.5593071046,-19.5593071046,lower_better,source_memory,19.5593071046,-18.5593071046,0.5,-0.5,malicious_report_replan_checks,2,2.1213203435596424,1.4999999999999998
majority_vote,11.7062047364,-13.7062047364,lower_better,source_memory,13.7062047364,-11.7062047364,1.0,-1.0,malicious_report_path_changes,2,1.4142135623730951,1.0
majority_vote,25.4124094728,-25.4124094728,lower_better,source_memory,25.4124094728,-25.4124094728,-0.0,0.0,fake_obstacle_replan_checks,2,2.8284271247461903,2.0
majority_vote,18.5593071046,-19.5593071046,lower_better,source_memory,19.5593071046,-18.5593071046,0.5,-0.5,fake_obstacle_path_changes,2,2.1213203435596424,1.4999999999999998
